sku_id,category,subcategory,brand,pack_size,pack_size_num,container,price,cost,margin_pct,seasonality,cluster_preference,sku_segment
SKU00001,Beverages,Cola,Campa Cola,200ml,200,Can,14.0,9.1,35,Summer,"A,B,C,D,E",Economy
SKU00002,Beverages,Cola,Campa Cola,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00003,Beverages,Cola,Campa Cola,300ml,300,Can,16.0,10.4,35,Summer,"A,B,C,D,E",Economy
SKU00004,Beverages,Cola,Campa Cola,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00005,Beverages,Cola,Campa Cola,600ml,600,PET,22.0,14.3,35,Summer,"A,B,C,D,E",Economy
SKU00006,Beverages,Cola,Campa Cola,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00007,Beverages,Cola,Campa Cola,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00008,Beverages,Cola,Campa Cola,1250ml,1250,PET,35.0,22.75,35,Summer,"A,B,C,D,E",Mid-Range
SKU00009,Beverages,Cola,Campa Cola,1500ml,1500,PET,40.0,26.0,35,Summer,"A,B,C,D,E",Mid-Range
SKU00010,Beverages,Cola,Campa Cola,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00011,Beverages,Cola,Thums Up,200ml,200,Can,14.0,9.1,35,Summer,"A,B,C,D,E",Economy
SKU00012,Beverages,Cola,Thums Up,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00013,Beverages,Cola,Thums Up,300ml,300,Can,16.0,10.4,35,Summer,"A,B,C,D,E",Economy
SKU00014,Beverages,Cola,Thums Up,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00015,Beverages,Cola,Thums Up,600ml,600,PET,22.0,14.3,35,Summer,"A,B,C,D,E",Economy
SKU00016,Beverages,Cola,Thums Up,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00017,Beverages,Cola,Thums Up,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00018,Beverages,Cola,Thums Up,1250ml,1250,PET,35.0,22.75,35,Summer,"A,B,C,D,E",Mid-Range
SKU00019,Beverages,Cola,Thums Up,1500ml,1500,PET,40.0,26.0,35,Summer,"A,B,C,D,E",Mid-Range
SKU00020,Beverages,Cola,Thums Up,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00021,Beverages,Cola,Coca-Cola,200ml,200,Can,14.0,9.1,35,Summer,"A,B,C,D,E",Economy
SKU00022,Beverages,Cola,Coca-Cola,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00023,Beverages,Cola,Coca-Cola,300ml,300,Can,16.0,10.4,35,Summer,"A,B,C,D,E",Economy
SKU00024,Beverages,Cola,Coca-Cola,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00025,Beverages,Cola,Coca-Cola,600ml,600,PET,22.0,14.3,35,Summer,"A,B,C,D,E",Economy
SKU00026,Beverages,Cola,Coca-Cola,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00027,Beverages,Cola,Coca-Cola,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00028,Beverages,Cola,Coca-Cola,1250ml,1250,PET,35.0,22.75,35,Summer,"A,B,C,D,E",Mid-Range
SKU00029,Beverages,Cola,Coca-Cola,1500ml,1500,PET,40.0,26.0,35,Summer,"A,B,C,D,E",Mid-Range
SKU00030,Beverages,Cola,Coca-Cola,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00031,Beverages,Cola,Pepsi,200ml,200,Can,14.0,9.1,35,Summer,"A,B,C,D,E",Economy
SKU00032,Beverages,Cola,Pepsi,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00033,Beverages,Cola,Pepsi,300ml,300,Can,16.0,10.4,35,Summer,"A,B,C,D,E",Economy
SKU00034,Beverages,Cola,Pepsi,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00035,Beverages,Cola,Pepsi,600ml,600,PET,22.0,14.3,35,Summer,"A,B,C,D,E",Economy
SKU00036,Beverages,Cola,Pepsi,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00037,Beverages,Cola,Pepsi,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00038,Beverages,Cola,Pepsi,1250ml,1250,PET,35.0,22.75,35,Summer,"A,B,C,D,E",Mid-Range
SKU00039,Beverages,Cola,Pepsi,1500ml,1500,PET,40.0,26.0,35,Summer,"A,B,C,D,E",Mid-Range
SKU00040,Beverages,Cola,Pepsi,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00041,Beverages,Cola,RC Cola,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00042,Beverages,Cola,RC Cola,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00043,Beverages,Cola,RC Cola,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00044,Beverages,Cola,RC Cola,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00045,Beverages,Cola,RC Cola,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00046,Beverages,Lemon,Leomon,200ml,200,Can,13.6,9.25,32,Summer,"A,B,C,D,E",Economy
SKU00047,Beverages,Lemon,Leomon,250ml,250,Can,14.5,9.86,32,Summer,"A,B,C,D,E",Economy
SKU00048,Beverages,Lemon,Leomon,300ml,300,Can,15.4,10.47,32,Summer,"A,B,C,D,E",Economy
SKU00049,Beverages,Lemon,Leomon,500ml,500,PET,19.0,12.92,32,Summer,"A,B,C,D,E",Economy
SKU00050,Beverages,Lemon,Leomon,600ml,600,PET,20.8,14.14,32,Summer,"A,B,C,D,E",Economy
SKU00051,Beverages,Lemon,Leomon,750ml,750,PET,23.5,15.98,32,Summer,"A,B,C,D,E",Economy
SKU00052,Beverages,Lemon,Leomon,1000ml,1000,PET,28.0,19.04,32,Summer,"A,B,C,D,E",Mid-Range
SKU00053,Beverages,Lemon,Leomon,1250ml,1250,PET,32.5,22.1,32,Summer,"A,B,C,D,E",Mid-Range
SKU00054,Beverages,Lemon,Leomon,1500ml,1500,PET,37.0,25.16,32,Summer,"A,B,C,D,E",Mid-Range
SKU00055,Beverages,Lemon,Leomon,2000ml,2000,PET,46.0,31.28,32,Summer,"A,B,C,D,E",Mid-Range
SKU00056,Beverages,Lemon,Limca,200ml,200,Can,13.6,9.25,32,Summer,"A,B,C,D,E",Economy
SKU00057,Beverages,Lemon,Limca,250ml,250,Can,14.5,9.86,32,Summer,"A,B,C,D,E",Economy
SKU00058,Beverages,Lemon,Limca,300ml,300,Can,15.4,10.47,32,Summer,"A,B,C,D,E",Economy
SKU00059,Beverages,Lemon,Limca,500ml,500,PET,19.0,12.92,32,Summer,"A,B,C,D,E",Economy
SKU00060,Beverages,Lemon,Limca,600ml,600,PET,20.8,14.14,32,Summer,"A,B,C,D,E",Economy
SKU00061,Beverages,Lemon,Limca,750ml,750,PET,23.5,15.98,32,Summer,"A,B,C,D,E",Economy
SKU00062,Beverages,Lemon,Limca,1000ml,1000,PET,28.0,19.04,32,Summer,"A,B,C,D,E",Mid-Range
SKU00063,Beverages,Lemon,Limca,1250ml,1250,PET,32.5,22.1,32,Summer,"A,B,C,D,E",Mid-Range
SKU00064,Beverages,Lemon,Limca,1500ml,1500,PET,37.0,25.16,32,Summer,"A,B,C,D,E",Mid-Range
SKU00065,Beverages,Lemon,Limca,2000ml,2000,PET,46.0,31.28,32,Summer,"A,B,C,D,E",Mid-Range
SKU00066,Beverages,Lemon,Sprite,200ml,200,Can,13.6,9.25,32,Summer,"A,B,C,D,E",Economy
SKU00067,Beverages,Lemon,Sprite,250ml,250,Can,14.5,9.86,32,Summer,"A,B,C,D,E",Economy
SKU00068,Beverages,Lemon,Sprite,300ml,300,Can,15.4,10.47,32,Summer,"A,B,C,D,E",Economy
SKU00069,Beverages,Lemon,Sprite,500ml,500,PET,19.0,12.92,32,Summer,"A,B,C,D,E",Economy
SKU00070,Beverages,Lemon,Sprite,600ml,600,PET,20.8,14.14,32,Summer,"A,B,C,D,E",Economy
SKU00071,Beverages,Lemon,Sprite,750ml,750,PET,23.5,15.98,32,Summer,"A,B,C,D,E",Economy
SKU00072,Beverages,Lemon,Sprite,1000ml,1000,PET,28.0,19.04,32,Summer,"A,B,C,D,E",Mid-Range
SKU00073,Beverages,Lemon,Sprite,1250ml,1250,PET,32.5,22.1,32,Summer,"A,B,C,D,E",Mid-Range
SKU00074,Beverages,Lemon,Sprite,1500ml,1500,PET,37.0,25.16,32,Summer,"A,B,C,D,E",Mid-Range
SKU00075,Beverages,Lemon,Sprite,2000ml,2000,PET,46.0,31.28,32,Summer,"A,B,C,D,E",Mid-Range
SKU00076,Beverages,Lemon,7UP,200ml,200,Can,13.6,9.25,32,Summer,"A,B,C,D,E",Economy
SKU00077,Beverages,Lemon,7UP,250ml,250,Can,14.5,9.86,32,Summer,"A,B,C,D,E",Economy
SKU00078,Beverages,Lemon,7UP,300ml,300,Can,15.4,10.47,32,Summer,"A,B,C,D,E",Economy
SKU00079,Beverages,Lemon,7UP,500ml,500,PET,19.0,12.92,32,Summer,"A,B,C,D,E",Economy
SKU00080,Beverages,Lemon,7UP,600ml,600,PET,20.8,14.14,32,Summer,"A,B,C,D,E",Economy
SKU00081,Beverages,Lemon,7UP,750ml,750,PET,23.5,15.98,32,Summer,"A,B,C,D,E",Economy
SKU00082,Beverages,Lemon,7UP,1000ml,1000,PET,28.0,19.04,32,Summer,"A,B,C,D,E",Mid-Range
SKU00083,Beverages,Lemon,7UP,1250ml,1250,PET,32.5,22.1,32,Summer,"A,B,C,D,E",Mid-Range
SKU00084,Beverages,Lemon,7UP,1500ml,1500,PET,37.0,25.16,32,Summer,"A,B,C,D,E",Mid-Range
SKU00085,Beverages,Lemon,7UP,2000ml,2000,PET,46.0,31.28,32,Summer,"A,B,C,D,E",Mid-Range
SKU00086,Beverages,Lemon,Mountain Dew,250ml,250,Can,14.5,9.86,32,Summer,"A,B,C,D,E",Economy
SKU00087,Beverages,Lemon,Mountain Dew,500ml,500,PET,19.0,12.92,32,Summer,"A,B,C,D,E",Economy
SKU00088,Beverages,Lemon,Mountain Dew,750ml,750,PET,23.5,15.98,32,Summer,"A,B,C,D,E",Economy
SKU00089,Beverages,Lemon,Mountain Dew,1000ml,1000,PET,28.0,19.04,32,Summer,"A,B,C,D,E",Mid-Range
SKU00090,Beverages,Lemon,Mountain Dew,2000ml,2000,PET,46.0,31.28,32,Summer,"A,B,C,D,E",Mid-Range
SKU00091,Beverages,Fruit Drink,Bovonto,200ml,200,Glass,16.0,11.2,30,Summer,"A,B,C,D,E",Economy
SKU00092,Beverages,Fruit Drink,Bovonto,220ml,220,Glass,16.4,11.48,30,Summer,"A,B,C,D,E",Economy
SKU00093,Beverages,Fruit Drink,Bovonto,250ml,250,Glass,17.0,11.9,30,Summer,"A,B,C,D,E",Economy
SKU00094,Beverages,Fruit Drink,Bovonto,280ml,280,Glass,17.6,12.32,30,Summer,"A,B,C,D,E",Economy
SKU00095,Beverages,Fruit Drink,Bovonto,300ml,300,Glass,18.0,12.6,30,Summer,"A,B,C,D,E",Economy
SKU00096,Beverages,Fruit Drink,Bovonto,400ml,400,PET,20.0,14.0,30,Summer,"A,B,C,D,E",Economy
SKU00097,Beverages,Fruit Drink,Bovonto,500ml,500,PET,22.0,15.4,30,Summer,"A,B,C,D,E",Economy
SKU00098,Beverages,Fruit Drink,Bovonto,600ml,600,PET,24.0,16.8,30,Summer,"A,B,C,D,E",Economy
SKU00099,Beverages,Fruit Drink,Bovonto,750ml,750,PET,27.0,18.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00100,Beverages,Fruit Drink,Bovonto,1000ml,1000,PET,32.0,22.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00101,Beverages,Fruit Drink,Bovonto,1500ml,1500,PET,42.0,29.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00102,Beverages,Fruit Drink,Slice,200ml,200,PET,16.0,11.2,30,Summer,"A,B,C,D,E",Economy
SKU00103,Beverages,Fruit Drink,Slice,220ml,220,PET,16.4,11.48,30,Summer,"A,B,C,D,E",Economy
SKU00104,Beverages,Fruit Drink,Slice,250ml,250,PET,17.0,11.9,30,Summer,"A,B,C,D,E",Economy
SKU00105,Beverages,Fruit Drink,Slice,280ml,280,PET,17.6,12.32,30,Summer,"A,B,C,D,E",Economy
SKU00106,Beverages,Fruit Drink,Slice,300ml,300,PET,18.0,12.6,30,Summer,"A,B,C,D,E",Economy
SKU00107,Beverages,Fruit Drink,Slice,400ml,400,PET,20.0,14.0,30,Summer,"A,B,C,D,E",Economy
SKU00108,Beverages,Fruit Drink,Slice,500ml,500,PET,22.0,15.4,30,Summer,"A,B,C,D,E",Economy
SKU00109,Beverages,Fruit Drink,Slice,600ml,600,PET,24.0,16.8,30,Summer,"A,B,C,D,E",Economy
SKU00110,Beverages,Fruit Drink,Slice,750ml,750,PET,27.0,18.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00111,Beverages,Fruit Drink,Slice,1000ml,1000,PET,32.0,22.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00112,Beverages,Fruit Drink,Slice,1250ml,1250,PET,37.0,25.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00113,Beverages,Fruit Drink,Slice,1500ml,1500,PET,42.0,29.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00114,Beverages,Fruit Drink,Maaza,200ml,200,PET,16.0,11.2,30,Summer,"A,B,C,D,E",Economy
SKU00115,Beverages,Fruit Drink,Maaza,220ml,220,PET,16.4,11.48,30,Summer,"A,B,C,D,E",Economy
SKU00116,Beverages,Fruit Drink,Maaza,250ml,250,PET,17.0,11.9,30,Summer,"A,B,C,D,E",Economy
SKU00117,Beverages,Fruit Drink,Maaza,280ml,280,PET,17.6,12.32,30,Summer,"A,B,C,D,E",Economy
SKU00118,Beverages,Fruit Drink,Maaza,300ml,300,PET,18.0,12.6,30,Summer,"A,B,C,D,E",Economy
SKU00119,Beverages,Fruit Drink,Maaza,400ml,400,PET,20.0,14.0,30,Summer,"A,B,C,D,E",Economy
SKU00120,Beverages,Fruit Drink,Maaza,500ml,500,PET,22.0,15.4,30,Summer,"A,B,C,D,E",Economy
SKU00121,Beverages,Fruit Drink,Maaza,600ml,600,PET,24.0,16.8,30,Summer,"A,B,C,D,E",Economy
SKU00122,Beverages,Fruit Drink,Maaza,750ml,750,PET,27.0,18.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00123,Beverages,Fruit Drink,Maaza,1000ml,1000,PET,32.0,22.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00124,Beverages,Fruit Drink,Maaza,1250ml,1250,PET,37.0,25.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00125,Beverages,Fruit Drink,Maaza,1500ml,1500,PET,42.0,29.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00126,Beverages,Fruit Drink,Fanta,200ml,200,PET,16.0,11.2,30,Summer,"A,B,C,D,E",Economy
SKU00127,Beverages,Fruit Drink,Fanta,220ml,220,PET,16.4,11.48,30,Summer,"A,B,C,D,E",Economy
SKU00128,Beverages,Fruit Drink,Fanta,250ml,250,PET,17.0,11.9,30,Summer,"A,B,C,D,E",Economy
SKU00129,Beverages,Fruit Drink,Fanta,280ml,280,PET,17.6,12.32,30,Summer,"A,B,C,D,E",Economy
SKU00130,Beverages,Fruit Drink,Fanta,300ml,300,PET,18.0,12.6,30,Summer,"A,B,C,D,E",Economy
SKU00131,Beverages,Fruit Drink,Fanta,400ml,400,PET,20.0,14.0,30,Summer,"A,B,C,D,E",Economy
SKU00132,Beverages,Fruit Drink,Fanta,500ml,500,PET,22.0,15.4,30,Summer,"A,B,C,D,E",Economy
SKU00133,Beverages,Fruit Drink,Fanta,600ml,600,PET,24.0,16.8,30,Summer,"A,B,C,D,E",Economy
SKU00134,Beverages,Fruit Drink,Fanta,750ml,750,PET,27.0,18.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00135,Beverages,Fruit Drink,Fanta,1000ml,1000,PET,32.0,22.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00136,Beverages,Fruit Drink,Fanta,1250ml,1250,PET,37.0,25.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00137,Beverages,Fruit Drink,Fanta,1500ml,1500,PET,42.0,29.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00138,Beverages,Fruit Drink,Mirinda,200ml,200,PET,16.0,11.2,30,Summer,"A,B,C,D,E",Economy
SKU00139,Beverages,Fruit Drink,Mirinda,220ml,220,PET,16.4,11.48,30,Summer,"A,B,C,D,E",Economy
SKU00140,Beverages,Fruit Drink,Mirinda,250ml,250,PET,17.0,11.9,30,Summer,"A,B,C,D,E",Economy
SKU00141,Beverages,Fruit Drink,Mirinda,280ml,280,PET,17.6,12.32,30,Summer,"A,B,C,D,E",Economy
SKU00142,Beverages,Fruit Drink,Mirinda,300ml,300,PET,18.0,12.6,30,Summer,"A,B,C,D,E",Economy
SKU00143,Beverages,Fruit Drink,Mirinda,400ml,400,PET,20.0,14.0,30,Summer,"A,B,C,D,E",Economy
SKU00144,Beverages,Fruit Drink,Mirinda,500ml,500,PET,22.0,15.4,30,Summer,"A,B,C,D,E",Economy
SKU00145,Beverages,Fruit Drink,Mirinda,750ml,750,PET,27.0,18.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00146,Beverages,Fruit Drink,Mirinda,1000ml,1000,PET,32.0,22.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00147,Beverages,Fruit Drink,Mirinda,1500ml,1500,PET,42.0,29.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00148,Beverages,Fruit Drink,Appy Fizz,250ml,250,PET,17.0,11.9,30,Summer,"A,B,C,D,E",Economy
SKU00149,Beverages,Fruit Drink,Appy Fizz,280ml,280,PET,17.6,12.32,30,Summer,"A,B,C,D,E",Economy
SKU00150,Beverages,Fruit Drink,Appy Fizz,300ml,300,PET,18.0,12.6,30,Summer,"A,B,C,D,E",Economy
SKU00151,Beverages,Fruit Drink,Appy Fizz,400ml,400,PET,20.0,14.0,30,Summer,"A,B,C,D,E",Economy
SKU00152,Beverages,Fruit Drink,Appy Fizz,500ml,500,PET,22.0,15.4,30,Summer,"A,B,C,D,E",Economy
SKU00153,Beverages,Fruit Drink,Appy Fizz,600ml,600,PET,24.0,16.8,30,Summer,"A,B,C,D,E",Economy
SKU00154,Beverages,Fruit Drink,Appy Fizz,750ml,750,PET,27.0,18.9,30,Summer,"A,B,C,D,E",Mid-Range
SKU00155,Beverages,Fruit Drink,Appy Fizz,1000ml,1000,PET,32.0,22.4,30,Summer,"A,B,C,D,E",Mid-Range
SKU00156,Beverages,Juice,Frooti,160ml,160,TetraPak,19.8,12.87,35,Summer,"A,B,C,D,E",Economy
SKU00157,Beverages,Juice,Frooti,180ml,180,TetraPak,20.4,13.26,35,Summer,"A,B,C,D,E",Economy
SKU00158,Beverages,Juice,Frooti,200ml,200,TetraPak,21.0,13.65,35,Summer,"A,B,C,D,E",Economy
SKU00159,Beverages,Juice,Frooti,220ml,220,TetraPak,21.6,14.04,35,Summer,"A,B,C,D,E",Economy
SKU00160,Beverages,Juice,Frooti,250ml,250,TetraPak,22.5,14.62,35,Summer,"A,B,C,D,E",Economy
SKU00161,Beverages,Juice,Frooti,300ml,300,TetraPak,24.0,15.6,35,Summer,"A,B,C,D,E",Economy
SKU00162,Beverages,Juice,Frooti,400ml,400,TetraPak,27.0,17.55,35,Summer,"A,B,C,D,E",Mid-Range
SKU00163,Beverages,Juice,Frooti,500ml,500,TetraPak,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00164,Beverages,Juice,Frooti,600ml,600,TetraPak,33.0,21.45,35,Summer,"A,B,C,D,E",Mid-Range
SKU00165,Beverages,Juice,Frooti,750ml,750,TetraPak,37.5,24.38,35,Summer,"A,B,C,D,E",Mid-Range
SKU00166,Beverages,Juice,Frooti,1000ml,1000,TetraPak,45.0,29.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00167,Beverages,Juice,Frooti,1500ml,1500,TetraPak,60.0,39.0,35,Summer,"A,B,C,D,E",Premium
SKU00168,Beverages,Juice,Frooti,2000ml,2000,TetraPak,75.0,48.75,35,Summer,"A,B,C,D,E",Premium
SKU00169,Beverages,Juice,Real Juice,200ml,200,TetraPak,21.0,13.65,35,Summer,"A,B,C,D,E",Economy
SKU00170,Beverages,Juice,Real Juice,220ml,220,TetraPak,21.6,14.04,35,Summer,"A,B,C,D,E",Economy
SKU00171,Beverages,Juice,Real Juice,250ml,250,TetraPak,22.5,14.62,35,Summer,"A,B,C,D,E",Economy
SKU00172,Beverages,Juice,Real Juice,300ml,300,TetraPak,24.0,15.6,35,Summer,"A,B,C,D,E",Economy
SKU00173,Beverages,Juice,Real Juice,400ml,400,TetraPak,27.0,17.55,35,Summer,"A,B,C,D,E",Mid-Range
SKU00174,Beverages,Juice,Real Juice,500ml,500,TetraPak,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00175,Beverages,Juice,Real Juice,600ml,600,TetraPak,33.0,21.45,35,Summer,"A,B,C,D,E",Mid-Range
SKU00176,Beverages,Juice,Real Juice,750ml,750,TetraPak,37.5,24.38,35,Summer,"A,B,C,D,E",Mid-Range
SKU00177,Beverages,Juice,Real Juice,1000ml,1000,TetraPak,45.0,29.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00178,Beverages,Juice,Real Juice,1500ml,1500,TetraPak,60.0,39.0,35,Summer,"A,B,C,D,E",Premium
SKU00179,Beverages,Juice,Real Juice,2000ml,2000,TetraPak,75.0,48.75,35,Summer,"A,B,C,D,E",Premium
SKU00180,Beverages,Juice,Tropicana,200ml,200,TetraPak,21.0,13.65,35,Summer,"A,B,C,D,E",Economy
SKU00181,Beverages,Juice,Tropicana,220ml,220,TetraPak,21.6,14.04,35,Summer,"A,B,C,D,E",Economy
SKU00182,Beverages,Juice,Tropicana,250ml,250,TetraPak,22.5,14.62,35,Summer,"A,B,C,D,E",Economy
SKU00183,Beverages,Juice,Tropicana,300ml,300,TetraPak,24.0,15.6,35,Summer,"A,B,C,D,E",Economy
