store_id,region,city,area_type,footfall,avg_temperature,population_density,income_level,school_distance,highway_distance,cooler_capacity,cluster_label
S0001,East,Kolkata,Near Schools,151,33.2,104886,3,0.71,3.01,330,A
S0002,South,Chennai,Residential,271,41.8,264176,5,0.61,1.57,710,A
S0003,West,Ahmedabad,Near Schools,443,31.3,81551,2,0.65,1.48,220,C
S0004,South,Bangalore,Industrial,93,37.8,257624,3,0.72,1.36,1155,A
S0005,North,Lucknow,Near Schools,285,28.6,250551,5,0.68,0.04,1329,C
S0006,North,Lucknow,Residential,297,29.9,87065,7,0.67,2.32,1494,A
S0007,East,Kolkata,Hot Climate,287,36.4,132798,6,0.78,2.09,387,C
S0008,North,Delhi,Hot Climate,144,20.3,314712,9,0.03,1.2,1286,E
S0009,North,Lucknow,Near Schools,368,33.3,184633,8,0.86,2.24,400,D
S0010,South,Bangalore,Hot Climate,178,33.0,323109,4,0.22,3.07,842,D
S0011,South,Hyderabad,Near Schools,472,35.6,268969,3,0.05,1.72,1063,D
S0012,West,Mumbai,Industrial,301,23.1,252982,6,0.03,2.19,724,A
S0013,East,Patna,Industrial,145,33.7,485773,2,0.56,1.04,1454,E
S0014,North,Delhi,Near Schools,200,38.0,105016,4,0.6,1.77,848,C
S0015,North,Lucknow,Residential,251,25.4,385674,7,0.72,0.54,1336,A
S0016,South,Chennai,Residential,466,26.6,266688,9,0.64,1.57,841,B
S0017,East,Kolkata,Urban,464,25.3,268164,5,1.39,0.06,446,D
S0018,East,Patna,Urban,334,37.7,418452,5,0.58,2.22,951,D
S0019,North,Lucknow,Hot Climate,338,33.0,368394,5,0.6,1.63,346,B
S0020,East,Kolkata,Urban,207,31.4,323255,2,1.07,2.87,350,C
S0021,South,Hyderabad,Industrial,223,38.0,157512,5,0.04,2.18,453,E
S0022,North,Lucknow,Urban,312,27.7,65151,9,0.85,3.22,786,E
S0023,West,Pune,Industrial,333,20.2,183629,2,0.67,0.78,1021,C
S0024,North,Delhi,Industrial,240,20.4,403556,9,0.91,3.27,1358,D
S0025,West,Mumbai,Industrial,450,34.0,460645,7,0.73,2.06,762,E
S0026,East,Patna,Residential,356,31.1,483006,9,0.45,2.5,1015,B
S0027,East,Kolkata,Urban,251,40.7,355628,7,0.51,2.71,1260,E
S0028,North,Chandigarh,Hot Climate,174,41.2,497456,5,0.26,0.49,1384,B
S0029,West,Pune,Urban,302,38.6,415890,9,0.14,3.39,354,B
S0030,South,Bangalore,Urban,472,35.5,417654,6,0.33,0.31,1120,D
S0031,West,Pune,Urban,115,37.6,314512,9,0.98,2.65,1171,E
S0032,East,Bhubaneswar,Residential,367,32.7,280229,4,1.53,0.13,1348,E
S0033,South,Chennai,Urban,259,20.9,234078,7,0.2,2.43,463,D
S0034,West,Mumbai,Industrial,341,21.1,499395,7,1.46,2.63,855,E
S0035,West,Pune,Near Schools,224,28.8,260706,5,0.26,2.84,316,A
S0036,East,Kolkata,Industrial,208,23.8,329040,8,0.73,0.39,759,A
S0037,North,Delhi,Urban,351,31.4,79375,8,1.26,1.54,1299,C
S0038,East,Kolkata,Urban,364,22.6,497556,8,0.51,3.87,417,D
S0039,North,Lucknow,Industrial,368,30.2,338790,3,1.22,3.32,1001,B
S0040,South,Chennai,Near Schools,175,38.8,59540,6,0.52,2.06,1095,D
S0041,West,Pune,Near Schools,459,22.8,251660,4,0.78,3.14,1391,E
S0042,West,Mumbai,Hot Climate,91,22.2,193233,6,0.71,1.38,1048,D
S0043,North,Chandigarh,Residential,169,27.5,369602,2,1.38,1.96,1298,E
S0044,West,Mumbai,Hot Climate,328,32.1,88756,2,1.35,3.69,1322,B
S0045,South,Bangalore,Hot Climate,347,29.4,121180,8,0.44,2.26,1496,C
S0046,West,Mumbai,Hot Climate,266,22.2,129459,5,0.76,1.88,934,E
S0047,East,Bhubaneswar,Hot Climate,148,26.5,270184,5,1.06,2.79,1374,D
S0048,East,Kolkata,Hot Climate,121,41.4,400605,8,1.33,2.4,950,A
S0049,South,Chennai,Industrial,480,22.2,51542,7,0.43,2.2,1145,E
S0050,South,Bangalore,Hot Climate,244,25.1,78295,9,0.72,1.81,1355,B
S0051,West,Ahmedabad,Near Schools,443,32.3,168874,3,0.48,2.0,1443,C
S0052,West,Mumbai,Urban,80,35.0,392363,7,0.38,0.46,1023,C
S0053,North,Chandigarh,Residential,123,41.5,465916,6,0.49,1.9,1436,E
S0054,North,Lucknow,Near Schools,99,21.7,383870,2,0.32,1.03,1482,E
S0055,North,Lucknow,Industrial,409,40.9,71447,7,1.48,1.19,1231,A
S0056,West,Pune,Residential,395,32.8,470571,6,0.74,3.88,1128,B
S0057,North,Delhi,Hot Climate,125,21.7,488661,3,1.27,0.27,649,A
S0058,South,Chennai,Near Schools,444,23.6,51015,2,0.56,3.53,1462,A
S0059,North,Chandigarh,Urban,421,38.2,358684,2,0.38,1.1,584,A
S0060,East,Bhubaneswar,Industrial,276,42.0,285365,4,1.21,2.31,876,D
S0061,East,Kolkata,Hot Climate,157,24.5,478032,4,0.25,1.33,648,D
S0062,West,Pune,Industrial,174,22.5,326633,3,1.22,2.12,467,E
S0063,West,Mumbai,Near Schools,392,33.0,331342,8,1.16,1.61,777,E
S0064,East,Bhubaneswar,Industrial,305,27.7,367537,3,0.13,0.04,646,D
S0065,North,Chandigarh,Urban,414,28.7,120390,3,0.08,1.94,1183,A
S0066,South,Bangalore,Residential,284,24.6,308090,9,0.79,0.06,1406,C
S0067,East,Bhubaneswar,Industrial,439,35.3,222312,4,0.62,3.07,871,A
S0068,South,Hyderabad,Near Schools,356,23.7,161195,3,0.56,0.96,545,E
S0069,North,Chandigarh,Residential,380,27.1,73321,2,1.39,1.8,1279,E
S0070,East,Kolkata,Urban,105,39.1,240471,2,0.67,2.04,502,B
S0071,South,Chennai,Residential,107,28.1,94247,3,0.94,1.01,1118,C
S0072,East,Kolkata,Residential,373,31.7,216926,9,0.3,0.58,913,C
S0073,North,Lucknow,Residential,205,22.6,154592,6,1.27,2.88,266,D
S0074,South,Hyderabad,Industrial,190,36.2,62910,9,1.19,3.99,624,B
S0075,West,Pune,Residential,394,41.7,315956,2,0.46,1.76,823,A
S0076,East,Bhubaneswar,Urban,326,21.1,281966,9,0.67,2.91,274,E
S0077,South,Chennai,Urban,173,23.8,325378,7,0.64,2.75,1249,B
S0078,West,Mumbai,Residential,197,35.6,239139,2,0.69,3.71,200,D
S0079,West,Pune,Hot Climate,461,23.4,311987,6,0.34,2.05,889,C
S0080,North,Lucknow,Residential,251,24.4,55287,3,1.56,1.4,1318,E
S0081,South,Chennai,Hot Climate,455,41.8,246513,5,0.87,1.81,1117,A
S0082,North,Lucknow,Urban,308,24.4,401005,4,0.76,1.58,277,C
S0083,West,Mumbai,Hot Climate,121,28.6,355447,9,0.22,0.99,621,C
S0084,East,Patna,Urban,232,27.8,61246,8,0.3,2.05,303,D
S0085,East,Bhubaneswar,Near Schools,470,36.1,393054,8,0.85,4.27,1454,C
S0086,North,Chandigarh,Urban,176,35.6,82154,8,0.46,1.57,716,E
S0087,North,Chandigarh,Hot Climate,238,28.3,441020,9,0.62,4.51,1484,C
S0088,West,Mumbai,Residential,490,34.1,482882,5,0.05,2.28,268,E
S0089,South,Chennai,Residential,381,33.5,256988,9,1.58,2.13,1027,C
S0090,West,Mumbai,Hot Climate,407,34.3,77632,5,0.35,1.82,250,D
S0091,West,Mumbai,Near Schools,486,22.7,334260,6,0.44,1.57,1182,E
S0092,East,Bhubaneswar,Near Schools,478,28.8,368408,6,1.03,1.42,316,D
S0093,East,Patna,Industrial,104,39.0,189649,8,1.11,1.18,839,B
S0094,West,Ahmedabad,Near Schools,261,23.9,379670,5,0.92,1.84,376,D
S0095,East,Bhubaneswar,Residential,235,24.7,208768,8,0.59,2.43,347,B
S0096,West,Ahmedabad,Hot Climate,439,31.0,256592,9,0.61,1.98,1151,E
S0097,West,Pune,Hot Climate,384,20.8,140397,9,0.31,2.11,789,D
S0098,South,Chennai,Industrial,192,28.8,350709,4,0.46,1.63,1124,A
S0099,East,Bhubaneswar,Residential,445,31.6,439088,8,0.5,3.02,512,B
S0100,West,Ahmedabad,Near Schools,334,20.4,499589,2,0.39,2.49,1206,D
S0101,East,Bhubaneswar,Near Schools,479,28.7,439301,6,0.08,1.1,206,D
S0102,North,Lucknow,Hot Climate,226,22.7,485090,5,1.15,2.96,1014,D
S0103,East,Bhubaneswar,Residential,274,33.0,428387,6,1.07,1.33,1104,C
S0104,West,Ahmedabad,Industrial,421,37.2,488864,3,0.71,2.04,327,A
S0105,South,Hyderabad,Urban,93,36.3,287804,2,0.35,1.58,1458,C
S0106,South,Chennai,Hot Climate,188,35.2,386676,4,0.65,3.31,241,C
S0107,South,Chennai,Urban,244,34.3,178377,5,0.7,2.98,467,D
S0108,North,Lucknow,Residential,252,38.4,413476,5,0.43,3.45,329,A
S0109,East,Kolkata,Near Schools,260,33.3,103276,6,0.51,3.21,875,D
S0110,East,Patna,Residential,134,34.6,316997,7,0.26,2.7,950,B
S0111,East,Patna,Urban,444,23.4,228376,3,0.25,1.65,495,D
S0112,North,Delhi,Near Schools,183,29.6,325494,4,0.8,2.53,371,E
S0113,South,Chennai,Industrial,354,26.9,295690,4,0.69,3.95,211,C
S0114,West,Ahmedabad,Hot Climate,160,34.5,117957,9,0.42,2.63,1312,D
S0115,East,Bhubaneswar,Urban,444,34.7,471151,3,0.1,4.61,590,A
S0116,North,Lucknow,Urban,450,40.3,91786,8,0.86,2.79,571,E
S0117,South,Hyderabad,Residential,182,20.8,387054,9,0.43,1.69,1321,E
S0118,East,Bhubaneswar,Industrial,118,26.9,318784,5,0.34,3.04,921,C
S0119,North,Chandigarh,Industrial,461,29.2,173618,3,0.42,0.81,1262,A
S0120,North,Chandigarh,Urban,397,30.6,325128,9,0.42,3.45,539,D
